Module                  Size  Used by
nf_tables             393216  619 nft_ct,nft_compat,nft_nat,nft_fib_ipv6,nft_fib_ipv4,nft_masq,nft_chain_nat,nft_fib,nft_fib_inet
nfnetlink              24576  3 nft_compat,nf_tables
sch_fq_codel           28672  12
kvm_intel             442368  4
kvm                  1409024  1 kvm_intel
tun                    73728  9 vhost_net
bridge                413696  0
tls                   159744  0
tap                    36864  1 vhost_net
atkbd                  40960  0
macvlan                40960  0
libps2                 24576  1 atkbd
serio                  32768  1 atkbd
stp                    12288  1 bridge
irqbypass              16384  2 vfio_pci_core,kvm
llc                    20480  2 bridge,stp
loop                   49152  0
vivaldi_fmap           12288  1 atkbd
fuse                  282624  1
configfs               69632  1
dmi_sysfs              28672  0
ext4                 1175552  3
crc16                  12288  1 ext4
mbcache                20480  1 ext4
jbd2                  204800  1 ext4
mmc_block              69632  0
rpmb_core              20480  1 mmc_block
sd_mod                 86016  6
sdhci_pci             114688  0
ahci                   57344  6
sdhci_uhs2             36864  1 sdhci_pci
sdhci                 102400  2 sdhci_uhs2,sdhci_pci
libahci                65536  1 ahci
libata                495616  2 libahci,ahci
led_class              24576  4 videodev,sdhci,qnap8528,igc
cqhci                  36864  1 sdhci_pci
xhci_pci               24576  0
mmc_core              307200  5 sdhci_uhs2,sdhci,cqhci,mmc_block,sdhci_pci
scsi_mod              339968  4 sd_mod,usb_storage,uas,libata
xhci_hcd              430080  1 xhci_pci
scsi_common            16384  5 scsi_mod,sd_mod,usb_storage,uas,libata
dm_mod                241664  0
efivarfs               40960  1
autofs4                65536  0
